,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
15371,斗南工務段108年省道預約經常性瀝青路面零星修補工程,交通部公路總局第五區養護工程處斗南工務段,大佳土木包工業,民國108年02月01日至108年10月31日,"7,050千元",截至108年09月底實際進度：  10.00%,
15372,斗南工務段108年預約經常性橋梁零星修復工程,交通部公路總局第五區養護工程處斗南工務段,政沄營造工程有限公司,民國108年02月01日至108年10月31日,"5,198千元",截至108年09月底實際進度：   8.00%,
15373,108年度第五區養護工程處省道交通資訊蒐集及控制系統設備預約經常性維護工程,交通部公路總局第五區養護工程處斗南工務段,全徽道安科技股份有限公司,民國108年01月01日至108年11月30日,"7,581千元",截至108年09月底實際進度：  43.00%,
15374,斗南工務段108年台1線、台1丁線、台3線綠美化維護工程,交通部公路總局第五區養護工程處斗南工務段,萬長榮營造有限公司,民國107年11月01日至108年10月31日,"3,160千元",截至108年09月底實際進度：  71.00%,
15375,斗南工務段108年台17線、台19線綠美化維護工程,交通部公路總局第五區養護工程處斗南工務段,八駿營造有限公司,民國107年11月01日至108年10月31日,"2,456千元",截至108年09月底實際進度：  29.00%,
15376,斗南工務段108年雲林縣省道預約經常性災害搶修工程,交通部公路總局第五區養護工程處斗南工務段,大東洋營造有限公司,民國108年02月01日至108年10月31日,"2,743千元",截至108年09月底實際進度：  14.00%,
15377,雲縣西螺鎮公館里等汰換管線工程,台灣自來水股份有限公司第五區管理處,雅喬工程有限公司,民國107年08月16日至108年12月30日,"23,900千元",截至108年08月底實際進度：  86.00%,
15378,雲縣二崙鄉裕民路汰換管線工程,台灣自來水股份有限公司第五區管理處,菘憶營造股份有限公司,民國107年08月29日至108年12月25日,"8,210千元",截至108年08月底實際進度：  74.88%,
15379,管線單價發包工程(E)108年第一期開口契約,台灣自來水股份有限公司第五區管理處,雅喬工程有限公司,民國108年02月18日至109年03月19日,"27,970千元",截至108年08月底實際進度：  48.00%,
15380,管線單價發包工程(F)108年第一期開口契約,台灣自來水股份有限公司第五區管理處,雅喬工程有限公司,民國108年02月18日至109年03月19日,"28,000千元",截至108年08月底實際進度：  48.00%,
15381,管線單價發包工程(D)108年第一期開口契約,台灣自來水股份有限公司第五區管理處,雅喬工程有限公司,民國108年01月07日至109年03月19日,"28,665千元",截至108年08月底實際進度：  48.00%,
15382,西螺所108年度管線修漏工程開口契約,台灣自來水股份有限公司第五區管理處,�皕膜u程有限公司,民國108年04月15日至109年03月14日,"6,520千元",截至108年08月底實際進度：  67.34%,
15383,台西所108年分區計量建置工程,台灣自來水股份有限公司第五區管理處,榮陳科技股份有限公司,民國108年07月08日至108年11月25日,"9,023千元",截至108年09月底實際進度：  67.60%,
15384,北港、虎尾及台西所108年度管線修漏工程開口契約,台灣自來水股份有限公司,興新水電工程行,民國108年04月24日至109年04月23日,"9,600千元",截至108年09月底實際進度：  33.00%,
15385,雲縣西螺鎮下湳九隆汰換管線工程,台灣自來水股份有限公司第五區管理處,雅喬工程有限公司,民國107年12月06日至108年10月09日,"9,780千元",截至108年08月底實際進度：   0.30%,
15386,斗六服務所及雲林廠(含下游管線)107年度管線修漏工程開口契約,台灣自來水股份有限公司第五區管理處,峻篁企業有限公司,民國107年11月01日至108年10月31日,"9,470千元",截至108年09月底實際進度：  91.80%,
15387,斗南所及古坑所108年度管線修漏程工開口契約,台灣自來水股份有限公司,�皕膜u程有限公司,民國108年03月28日至109年03月27日,"6,470千元",截至108年09月底實際進度：  50.00%,
15388,虎尾鎮墾地里海墘供水延管工程,台灣自來水股份有限公司第五區管理處,炬曜營造有限公司,民國108年06月30日至108年10月31日,"4,320千元",截至108年08月底實際進度：   0.05%,
15389,台西鄉五榔村3鄰供水延管工程,台灣自來水股份有限公司第五區管理處,松富水管工程行,民國108年08月20日至108年11月30日,"2,196千元",截至108年09月底實際進度：  87.54%,
15390,北港~四湖雙分歧澎湖二路161kV線電纜延放機電工程暨管障改善工程,台灣電力股份有限公司輸變電工程處,祥瑞機電工程有限公司,民國107年02月01日至108年12月20日,"13,000千元",截至108年08月底實際進度：  79.00%,
15391,(1)台西風~台西161kV線電纜管路工程(2)水林S_S三號變壓器室封牆拆裝工程,台灣電力股份有限公司輸變電工程處中區施工處,久慶營造有限公司,民國108年03月10日至110年12月31日,"51,600千元",截至108年09月底實際進度：   6.20%,台灣電力股份有限公司輸變電工程處中區施工處
15392,108年度雲林分隊鐵塔油漆工程,台灣電力股份有限公司嘉南供電區營運處,力翔實業股份有限公司,民國108年05月06日至108年12月31日,"9,300千元",截至108年09月底實際進度：  35.00%,
15393,161kV北港~四湖一二路#47、#49鐵塔包建更換工程,台灣電力股份有限公司嘉南供電區營運處,力鋼工業股份有限公司,民國108年09月04日至108年12月12日,"29,340千元",截至108年09月底實際進度：  10.00%,
15394,161kV北港~四湖一二路#51、#52鐵塔包建更換工程,台灣電力股份有限公司嘉南供電區營運處,力鋼工業股份有限公司,民國108年09月20日至108年12月28日,"31,425千元",截至108年09月底實際進度：  10.00%,
15395,雲林區營業處雲供812及813配合景觀道路改善地下化管路工程,台灣電力股份有限公司雲林區營業處,旭日電業有限公司,民國108年04月03日至108年09月06日,"42,900千元",截至108年08月底實際進度：  73.60%,台灣電力股份有限公司雲林區營業處
15396,雲林區營業處108年全工區配電管路工程,台灣電力股份有限公司雲林區營業處,超昱工程有限公司,民國107年11月07日至109年03月06日,"95,307千元",截至108年08月底實際進度：  98.33%,台灣電力股份有限公司雲林區營業處
15397,古坑S/S、西螺S/S特高斷路器及裝甲開關箱汰換工程,台灣電力股份有限公司雲林區營業處,中電工程有限公司,民國108年08月16日至109年01月06日,"9,597千元",截至108年08月底實際進度：   1.50%,
15398,雲林區營業處108年甲工區配電外線工程,台灣電力股份有限公司雲林區營業處,聖發興工程股份有限公司,民國108年04月17日至109年10月16日,"95,397千元",截至108年08月底實際進度：  85.62%,台灣電力股份有限公司雲林區營業處
15399,雲林區營業處108年全工區第二期配電管路工程,台灣電力股份有限公司雲林區營業處,聯吉電力工程有限公司,民國108年06月04日至109年12月03日,"83,000千元",截至108年08月底實際進度：  22.31%,台灣電力股份有限公司雲林區營業處
15400,雲林區營業處108年乙工區配電外線工程,台灣電力股份有限公司雲林區營業處,天成輸配電工程有限公司,民國108年02月21日至109年08月20日,"168,800千元",截至108年08月底實際進度：  76.66%,台灣電力股份有限公司雲林區營業處
15401,雲林區營業處107年甲工區配電外線工程,台灣電力股份有限公司雲林區營業處,聖發興工程股份有限公司,民國107年06月18日至108年12月17日,"94,044千元",截至108年08月底實際進度：  98.95%,台灣電力股份有限公司雲林區營業處
15402,湖山水庫下游連接管路排氣閥改善工程,安吉工程顧問有限公司,億立營造有限公司,民國108年07月01日至109年02月23日,"13,680千元",截至108年08月底實際進度：   2.03%,
15403,108年度北投埔重劃區北投埔段2246地號等農路改善工程等8件,泰勒工程顧問有限公司,東乘營造工程有限公司,民國108年09月22日至109年02月04日,"2,780千元",截至年月底實際進度：(未填)%,
15404,1081南投市、名間鄉、草屯鎮、中寮鄉鋁製及白鐵製蓄水池工程開口契約,南投縣政府農業處水土保持工程科,德霖蓄水池行,民國108年04月30日至109年02月28日,"7,240千元",截至108年08月底實際進度：  40.90%,
15405,1083埔里鎮、國姓鄉、仁愛鄉鋁製及白鐵製蓄水池工程開口契約,南投縣政府農業處水土保持工程科,德霖蓄水池行,民國108年04月30日至109年02月28日,"7,109千元",截至108年08月底實際進度：  42.00%,
15406,1082魚池鄉、集集鎮、水里鄉、信義鄉、鹿谷鄉、竹山鎮鋁製及白鐵製蓄水池工程開口契約,南投縣政府農業處水土保持工程科,德霖蓄水池行,民國108年04月30日至109年02月28日,"7,337千元",截至108年08月底實際進度：  40.30%,
15407,108年度南投縣交通號誌及易肇事路段改善等交通設施設置維護工程,臺灣鑽基工程顧問有限公司,雲龍國際有限公司,民國108年05月24日至109年02月29日,"4,246千元",截至108年08月底實際進度：  39.00%,
15408,107年度南投縣轄區交控系統及設施等整合、維護及設置工程,弘大交通工程顧問有限公司,浤富數位科技有限公司,民國108年06月05日至108年10月15日,"6,000千元",截至108年08月底實際進度：  70.00%,
15409,108年度南投縣交通標線等交通設施設置維護工程,臺灣鑽基工程顧問有限公司,鈺豐工程有限公司,民國108年05月19日至109年02月29日,"2,390千元",截至108年09月底實際進度：  49.00%,
15410,107南投市南陽路196巷、5巷周？道路改善工程等7件,權威工程顧問有限公司,億源營造有限公司,民國107年10月11日至107年11月29日,"4,980千元",截至108年08月底實際進度： 100.00%,
15411,107竹山鎮延祥里鹿山路128巷路面改善工程及107竹山鎮延祥里瑞竹巷468至490號路面改善工程,臺灣鑽基工程顧問有限公司,億源營造有限公司,民國107年06月22日至107年07月31日,"1,310千元",截至108年08月底實際進度： 100.00%,
15412,107年度竹山鎮小型道路養護工程(開口契約),臺灣鑽基工程顧問有限公司,加億土木包工業,民國107年09月30日至107年12月31日,"4,270千元",截至108年08月底實際進度： 100.00%,
15413,108年度南投縣轄內區域排水災害搶通(險)搶修工程(開口契約),康德工程顧問有限公司,典漢營造有限公司,民國108年05月01日至108年12月31日,"8,480千元",截至108年08月底實際進度：  28.00%,
15414,108年度市區道路人手孔整平維護改善工程(開口契約),圳德工程顧問有限公司,柏鼎營造有限公司,民國108年03月27日至109年02月28日,"1,740千元",截至108年08月底實際進度：  51.20%,
15415,108年度南投縣編號道路養護工程(第二標)(開口合約),臺灣鑽基工程顧問有限公司,德泰營造股份有限公司,民國108年03月27日至109年02月28日,"27,100千元",截至108年08月底實際進度：  51.20%,
15416,108年度南投縣編號道路及農路橋梁維修改善工程(開口契約),劦盛工程顧問有限公司,永譽營造有限公司,民國108年11月10日至109年07月31日,"14,700千元",截至年月底實際進度：(未填)%,
15417,108南投縣轄內疏浚工區外編號道路及市區道路路面修補及設施維護工程(開口契約),景泰工程顧問有限公司,典漢營造有限公司,民國108年09月20日至108年12月31日,"17,280千元",截至年月底實際進度：(未填)%,
15418,108年度南投縣編號道路養護工程(第一標)(開口合約),圳德工程顧問有限公司,德泰營造股份有限公司,民國108年03月20日至109年02月28日,"29,408千元",截至108年08月底實際進度：  52.70%,
15419,108年度埔里段轄區瀝青路面零星修補工程,交通部公路總局第二區養護工程處埔里工務段,合庫營造有限公司,民國108年10月01日至109年02月29日,"9,100千元",截至年月底實際進度：(未填)%,
15420,108年度埔里段轄區省道綠美化維護及災害搶修工程,交通部公路總局第二區養護工程處埔里工務段,春億企業社,民國107年12月03日至108年11月30日,"1,850千元",截至108年09月底實際進度：  70.00%,
15421,108年度埔里段轄區省道台21、21甲、14線49k+208-67k公路及橋梁維修改善工程,交通部公路總局第二區養護工程處埔里工務段,鑫成營造有限公司,民國107年12月04日至108年11月30日,"9,500千元",截至108年08月底實際進度：  60.00%,
15422,108年度埔里段轄區省道綠美化改善工程,交通部公路總局第二區養護工程處埔里工務段,今元興有限公司,民國107年11月26日至109年03月24日,"3,610千元",截至108年09月底實際進度：  60.00%,
15423,108年度南投段轄區省道交通安全設施改善及災害搶修工程,交通部公路總局第二區養護工程處南投工務段,豐承實業有限公司,民國107年12月01日至108年11月15日,"3,200千元",截至108年09月底實際進度：  90.00%,
15424,108年度南投段轄區省道瀝青路面修復工程,交通部公路總局第二區養護工程處南投工務段,明高工程股份有限公司,民國108年05月27日至108年11月30日,"8,180千元",截至108年09月底實際進度：  69.00%,
15425,108年南投段轄區省道公路及橋梁維修改善工程,交通部公路總局第二區養護工程處南投工務段,駿霖營造有限公司,民國107年12月01日至108年11月30日,"12,800千元",截至108年09月底實際進度：  85.00%,
15426,108年度南投段轄區省道照明暨隧道附屬設施維護改善及災害搶修工程,交通部公路總局第二區養護工程處南投工務段,月陽股份有限公司,民國107年12月01日至108年11月15日,"1,768千元",截至108年09月底實際進度：  90.00%,
15427,108年度南投段轄區省道號誌設施維護改善及災害搶修工程,交通部公路總局第二區養護工程處南投工務段,浤富數位科技有限公司,民國107年12月01日至108年11月15日,"5,880千元",截至108年09月底實際進度：  88.00%,
15428,台14線柑仔林隧道、觀音二號隧道緊急照明增設工程,交通部公路總局第二區養護工程處南投工務段,雲龍國際有限公司,民國108年07月08日至108年08月22日,"1,390千元",截至108年09月底實際進度： 100.00%,
15429,108年度南投段轄區省道綠美化維護及災害搶修工程,交通部公路總局第二區養護工程處南投工務段,大日工程行,民國107年12月01日至108年11月30日,"7,160千元",截至108年09月底實際進度：  85.00%,
15430,南投段交通設施維護工程(107年12月~108年10月),交通部高速公路局中區養護工程分局,育格企業有限公司,民國107年12月25日至108年10月31日,"12,850千元",截至108年08月底實際進度：  77.81%,
15431,南投段轄區橋涵隧道維護工程(108年4月至109年3月),交通部高速公路局中區養護工程分局,聯成豐營造工程有限公司,民國108年04月01日至109年03月31日,"35,880千元",截至108年08月底實際進度：  65.00%,
15432,南投段轄區排水設施及柵欄改善工程(108年4月~109年3月),富群工程顧問有限公司,源峪營造有限公司,民國108年04月01日至109年03月31日,"15,500千元",截至108年08月底實際進度：  60.00%,
15433,南投段轄區路面維護工程(108年~109年3月),富群工程顧問有限公司,拓方營造有限公司,民國108年06月01日至109年03月31日,"22,000千元",截至108年08月底實際進度：  19.00%,
15434,南投縣國姓鄉柑仔林村等管線汰換工程、埔里營運所管線單價採購工程(107年度),台灣自來水股份有限公司第四區管理處埔里營運所,巨英工程行,民國107年11月16日至108年12月31日,"38,200千元",截至108年09月底實際進度：  94.04%,
15435,南投營運所管線設備修理工程,台灣自來水股份有限公司第四區管理處,原福水電工程股份有限公司,民國108年08月30日至109年08月29日,"5,880千元",截至108年09月底實際進度：   9.00%,
15436,南投地區路面刨鋪工程,台灣自來水股份有限公司第四區管理處南投營運所,全壕營造有限公司,民國107年06月29日至109年06月01日,"7,482千元",截至108年09月底實際進度：  55.18%,
15437,南投市中山、民生、大同街等汰換管線工程,台灣自來水股份有限公司第四區管理處南投營運所,東河工程有限公司,民國108年07月19日至109年07月09日,"37,900千元",截至108年08月底實際進度：  10.30%,
15438,107年南投所（0429）小區水量計建置工程,台灣自來水股份有限公司第四區管理處南投營運所,新成洋有限公司,民國107年08月06日至108年11月12日,"41,800千元",截至108年09月底實際進度：  77.88%,
15439,水里、竹山營運所管線設備修理工程,台灣自來水股份有限公司第四區管理處竹山營運所,原福水電工程股份有限公司,民國108年08月28日至110年08月27日,"9,890千元",截至年月底實際進度：(未填)%,
15440,345kV天輪~龍崎山海線#59、#60、#72鐵塔基礎新建工程,台灣電力股份有限公司高屏供電區營運處,宏禾營造有限公司,民國107年09月20日至109年10月14日,"41,575千元",截至108年09月底實際進度：   4.24%,
15441,345kV天輪~龍崎山海線#73、#74、#75鐵塔基礎新建工程,台灣電力股份有限公司高屏供電區營運處,上華營造股份有限公司,民國107年09月29日至109年06月29日,"41,360千元",截至108年09月底實際進度：  35.27%,
15442,345kV天輪~龍崎山海線#83、#84及#86鐵塔基礎新建工程,台灣電力股份有限公司高屏供電區營運處,宏禾營造有限公司,民國107年06月23日至110年06月18日,"36,824千元",截至108年09月底實際進度：  68.00%,
15443,107年度零星土木積點工程南投段(第二期),台灣電力股份有限公司台中供電區營運處,廣佶營造有限公司,民國107年07月24日至109年06月22日,"45,946千元",截至108年09月底實際進度：  75.10%,
15444,345kV天輪~龍崎線#21、#33、#51等塔基工程,台灣電力股份有限公司台中供電區營運處,展煜營造有限公司,民國107年10月15日至109年08月22日,"44,200千元",截至108年09月底實際進度：  83.00%,
15445,108年度彰化縣排水系統水防道路搶險(修)及維護工程開口契約,彰化縣政府水利資源處水利工程科,鑫義營造股份有限公司,民國108年04月01日至108年12月31日,"6,100千元",截至108年08月底實際進度：  80.00%,
15446,108年度彰化縣（南區）治山防災搶險（修）及維護等工作－開口契約,彰化縣政府水利資源處水土保持科,北邑營造有限公司,民國108年02月11日至108年12月31日,"2,350千元",截至108年09月底實際進度：  71.90%,
15447,108年度彰化縣（北區）治山防災搶險（修）及維護等工作－開口契約,彰化縣政府水利資源處水土保持科,和鉅營造有限公司,民國108年03月04日至108年12月31日,"2,200千元",截至108年09月底實際進度：  67.50%,
15448,108年度彰化縣污水下水道管線維護工程開口契約,彰化縣政府,宏隆環保有限公司,民國108年01月31日至108年12月31日,"6,000千元",截至108年09月底實際進度：  52.00%,
15449,107年度南彰化道路交通標誌標線設置及改善工程開口契約,彰化縣工務處設施維護科,鎮洋企業有限公司,民國107年03月11日至108年03月31日,"2,100千元",截至108年08月底實際進度： 100.00%,
15450,107年度北彰化道路交通標誌標線設置及改善工程開口契約第一次變更,彰化縣工務處設施維護科,宏庭旺實業股份有限公司,民國107年12月21日至108年12月31日,"1,500千元",截至108年08月底實際進度： 100.00%,
15451,縣道139線14K+200至16K+800道路及綠美化改善工程,勤毅工程顧問有限公司,益揚營造工程有限公司,民國108年03月01日至108年10月26日,"30,000千元",截至108年08月底實際進度：  16.12%,
15452,108年度南彰化道路交通標誌標線設置及改善工程開口契約,彰化縣工務處設施維護科,宏庭旺實業股份有限公司,民國108年06月27日至109年08月31日,"1,892千元",截至108年08月底實際進度：  20.00%,
15453,108年度北彰化道路交通標誌標線設置及改善工程開口契約,彰化縣工務處設施維護科,鈺豐工程有限公司,民國108年06月25日至109年08月31日,"2,060千元",截至108年08月底實際進度：  15.70%,
15454,108年度彰化區、和美區、鹿港區道路巡查後改善及搶險(修)工程開口契約,勤毅工程顧問有限公司,和鉅營造有限公司,民國108年05月09日至109年03月31日,"12,750千元",截至108年08月底實際進度：  35.10%,
15455,埔鹽鄉柳橋西路北岸道路改善工程,佺葉工程顧問有限公司,新谷昌營造工程股份有限公司,民國108年08月25日至108年09月23日,"9,100千元",截至108年09月底實際進度： 100.00%,
15456,107年度鹿港區、和美區及彰化區道路巡查後改善及搶險(修)工程開口契約,彰化縣工務處設施維護科,萬科營造工程股份有限公司,民國107年06月09日至108年03月31日,"13,329千元",截至108年08月底實際進度： 100.00%,
15457,107年度北彰化道路交通標誌標線設置及改善工程開口契約,彰化縣工務處設施維護科,宏庭旺實業股份有限公司,民國107年03月15日至108年03月31日,"2,058千元",截至108年08月底實際進度： 100.00%,
15458,107年度南彰化道路交通標誌標線設置及改善工程開口契約第一次變更,佺葉工程顧問有限公司,鎮洋企業有限公司,民國107年12月15日至108年03月31日,"1,500千元",截至108年08月底實際進度： 100.00%,
15459,108年度員林區、田中區道路巡查後改善及搶險(修)工程開口契約,彰化縣政府工務處,三興營造工程有限公司,民國108年03月14日至108年12月31日,"12,000千元",截至108年09月底實際進度：  58.40%,
15460,108年度二林區地方小型工程開口契約,成隆技術顧問有限公司,源昌營造股份有限公司,民國108年06月14日至109年06月15日,"12,800千元",截至108年09月底實際進度：  30.00%,
15461,108年度員林區地方小型工程開口契約,彰化縣工務處養護工程科,拓方營造有限公司,民國108年08月30日至109年03月31日,"13,100千元",截至108年08月底實際進度：   0.00%,
15462,108年度田中區地方小型工程開口契約,成隆技術顧問有限公司,拓方營造有限公司,民國108年08月17日至109年03月31日,"7,850千元",截至108年09月底實際進度：  20.20%,
15463,台76線埔心交流道至員林30米園道北側新闢工程,永翔工程顧問有限公司,蓬進營造有限公司,民國106年11月01日至108年06月20日,"195,700千元",截至108年09月底實際進度： 100.00%,永翔工程顧問有限公司
15464,152線14K+500~22K+639段拓寬工程(第一標)-併辦土石標售,全勝工程顧問有限公司,尚億營造有限公司,民國106年07月15日至108年09月29日,"304,000千元",截至108年08月底實際進度：  92.70%,全勝工程顧問有限公司
15465,148線9k~11k拓寬改善工程-併辦土石標售,全勝工程顧問有限公司,金主營造工程股份有限公司,民國106年07月11日至108年10月03日,"147,268千元",截至108年08月底實際進度：  61.95%,全勝工程顧問有限公司
15466,152線14K+500~22K+639段拓寬工程(第二標)-併辦土石標售,全勝工程顧問有限公司,江興營造有限公司,民國106年07月15日至108年10月16日,"250,000千元",截至108年08月底實際進度：  74.67%,全勝工程顧問有限公司
15467,彰濱淨水場新建工程,自來水公司中區工程處,興亞營造工程股份有限公司,民國107年02月09日至109年02月04日,"1,318,670千元",截至108年08月底實際進度：  52.81%,黎明工程顧問股份有限公司
15468,108年度溪湖所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處溪湖營運所,晨宏工程有限公司,民國108年03月20日至108年09月20日,"5,184千元",截至108年08月底實際進度：  87.35%,
15469,溪湖-彰化縣二林鎮二溪路拓寬等汰換管線工程,台灣自來水股份有限公司第十一區管理處溪湖營運所,貫新工程有限公司,民國106年08月18日至109年01月31日,"18,300千元",截至108年09月底實際進度：  84.90%,
15470,108、109年度員林所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處員林營運所,祐晨工程有限公司,民國108年05月06日至109年05月05日,"4,665千元",截至108年08月底實際進度：  27.30%,
15471,108年度二水所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處二水營運所,晨宏工程有限公司,民國108年07月11日至109年01月11日,"1,404千元",截至108年09月底實際進度：  30.00%,
15472,107、108年度二林所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處二林營運所,晨宏工程有限公司,民國107年07月13日至108年12月31日,"4,332千元",截至108年09月底實際進度：  83.50%,
15473,彰化-108年度彰化-和美分區計量管網(含封閉)工程,台灣自來水股份有限公司第十一區管理處彰化給水廠,振益水電工業股份有限公司,民國108年06月20日至109年03月31日,"40,732千元",截至108年08月底實際進度：   5.80%,
15474,107、108年度花壇所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處花壇營運所,谷道工程有限公司,民國108年01月11日至109年01月10日,"7,056千元",截至108年09月底實際進度：  85.00%,
15475,鹿港-彰化縣福興鄉鎮平街及頂粘街等汰換管線工程,台灣自來水股份有限公司第十一區管理處鹿港營運所,榮陳科技股份有限公司,民國108年03月12日至108年12月30日,"30,712千元",截至108年09月底實際進度：  73.00%,
15476,108年度鹿港所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處鹿港營運所,祐晨工程有限公司,民國108年04月11日至109年04月30日,"5,358千元",截至108年09月底實際進度：  54.00%,
15477,鹿港-彰化縣福興鄉福三路及秀安二街等汰換管線工程,台灣自來水股份有限公司第十一區管理處鹿港營運所,晨宏工程有限公司,民國107年09月03日至108年09月30日,"29,700千元",截至108年09月底實際進度： 100.00%,
15478,108年度北斗所用水設備外線單價採購,台灣自來水股份有限公司第十一區管理處北斗營運所,沅盛工程有限公司,民國108年04月01日至108年11月30日,"6,394千元",截至108年09月底實際進度：  67.30%,
15479,北斗所轄區分區計量管網委外建置及漏水調查作業,台灣自來水股份有限公司第十一區管理處北斗營運所,寶品科技有限公司,民國107年07月10日至108年11月30日,"47,450千元",截至108年09月底實際進度：  98.00%,
15480,107、108年度二林所管線設備維修,台灣自來水股份有限公司第十一區管理處,晨宏工程有限公司,民國107年08月01日至108年12月31日,"4,448千元",截至108年09月底實際進度：  84.70%,
15481,彰化縣管線單價採購(B區108年度),台灣自來水股份有限公司第十一區管理處,鎮豪工程有限公司,民國108年04月11日至109年12月31日,"45,080千元",截至108年09月底實際進度：  30.00%,
15482,彰化縣管線單價採購(C區108年度),台灣自來水股份有限公司第十一區管理處,振益水電工業股份有限公司,民國108年04月09日至109年12月31日,"45,833千元",截至108年09月底實際進度：  30.00%,
15483,彰化縣管線單價採購(D區108年度第二批),台灣自來水股份有限公司第十一區管理處,貫新工程有限公司,民國108年08月12日至109年12月31日,"40,900千元",截至108年09月底實際進度：   2.00%,
15484,花壇營運所107-108年管線設備維修(後續擴充),台灣自來水股份有限公司第十一區管理處,谷道工程有限公司,民國108年08月23日至108年10月23日,"1,200千元",截至108年09月底實際進度：  50.00%,
15485,二水營運所108年管線設備維修,台灣自來水股份有限公司第十一區管理處,晨宏工程有限公司,民國108年07月04日至109年01月04日,"1,957千元",截至108年09月底實際進度：  53.60%,
15486,中山高203K+700~204K+900,台灣中油股份有限公司天然氣事業部南區營業處,課生工程有限公司,民國107年04月17日至108年10月21日,"15,500千元",截至108年09月底實際進度：  99.00%,
15487,彰工(Ⅲ)及永興風力發電機組新建工程,台灣電力股份有限公司再生能源處,中興電工機械股份有限公司,民國106年11月24日至109年04月05日,"1,075,000千元",截至108年09月底實際進度：  97.88%,中興電工機械股份有限公司
15488,彰化彰濱太陽光電新建工程,台灣電力股份有限公司再生能源處,中華電信股份有限公司台灣南區電信分公司,民國106年11月27日至108年10月18日,"5,799,700千元",截至108年08月底實際進度：  99.74%,中華電信股份有限公司台灣南區電信分公司
15489,中港~彰一(乙) M1~M24 161 kV電纜延放機電工程,台灣電力股份有限公司輸變電工程處中區施工處,佐峻企業有限公司,民國108年06月10日至110年05月31日,"30,120千元",截至108年08月底實際進度：   5.00%,
15490,161kV草港分歧線#3#4#5鐵塔全包建工程,台灣電力股份有限公司台中供電區營運處,台灣鐵塔股份有限公司,民國108年09月01日至109年09月01日,"27,387千元",截至108年09月底實際進度：  18.00%,
15491,161kV草港分歧一二路#2鐵塔全包建工程,台灣電力股份有限公司台中供電區營運處,台灣鐵塔股份有限公司,民國107年11月30日至108年11月26日,"9,850千元",截至108年09月底實際進度：  32.00%,
15492,69kV ABS、GCB及23kV MCSG等設備汰換工程,台灣電力股份有限公司彰化區營業處,飛羚電機工程股份有限公司,民國108年07月19日至109年03月14日,"23,150千元",截至108年08月底實際進度：  17.80%,
15493,彰化區營業處108年乙工區配電外線工程,台灣電力股份有限公司彰化區營業處,峰連工程股份有限公司,民國108年03月12日至109年07月11日,"189,000千元",截至108年09月底實際進度：  36.47%,台灣電力股份有限公司彰化區營業處
15494,108年甲工區配電外線工程,台灣電力股份有限公司彰化區營業處,峰連工程股份有限公司,民國108年08月23日至111年06月22日,"288,614千元",截至108年09月底實際進度：   2.12%,台灣電力股份有限公司彰化區營業處
15495,彰擴711號-彰西等9處變電所轄內饋線架空老舊鋁被覆線汰換工程,台灣電力股份有限公司彰化區營業處,宏晟工程有限公司,民國108年05月20日至109年09月19日,"51,600千元",截至108年09月底實際進度：  13.90%,台灣電力股份有限公司彰化區營業處
15496,彰化區營業處108年乙工區配電管路工程,台灣電力股份有限公司彰化區營業處,聯吉電力工程有限公司,民國107年11月27日至109年03月26日,"69,000千元",截至108年09月底實際進度：  99.17%,台灣電力股份有限公司彰化區營業處
15497,彰供703號-彰濱工業區線西區崙尾西一區第一期道路及公共管線配電管路預埋工程,台灣電力股份有限公司彰化區營業處,廣鎰工程有限公司,民國108年01月04日至109年05月20日,"18,570千元",截至108年08月底實際進度：  34.50%,
15498,彰化區營業處108年甲工區配電管路工程,台灣電力股份有限公司彰化區營業處,聯吉電力工程有限公司,民國108年02月20日至109年06月19日,"72,800千元",截至108年09月底實際進度：  52.26%,台灣電力股份有限公司彰化區營業處
15499,108年第二期乙工區配電管路工程,台灣電力股份有限公司彰化區營業處,彰聯工程股份公司,民國108年06月18日至109年05月17日,"66,580千元",截至108年09月底實際進度：  12.39%,台灣電力股份有限公司彰化區營業處
15500,彰化區營業處108年配電管路潛挖、橋樑附掛、圍籬及配電室部分設施等工程,台灣電力股份有限公司彰化區營業處,鼎龍工程有限公司,民國108年06月18日至109年10月17日,"39,151千元",截至108年09月底實際進度：   3.88%,
15501,彰化區營業處107年甲工區配電外線工程,台灣電力股份有限公司彰化區營業處,全揚工程行,民國107年07月17日至108年11月16日,"156,500千元",截至108年09月底實際進度：  76.86%,台灣電力股份有限公司彰化區營業處
15502,彰擴712號-彰新D/S等33所線路老舊設備汰換工程,台灣電力股份有限公司彰化區營業處,峰連工程股份有限公司,民國107年11月26日至109年03月25日,"48,055千元",截至108年09月底實際進度： 100.00%,台灣電力股份有限公司彰化區營業處
15503,彰化區營業處107年乙工區配電外線工程,台灣電力股份有限公司彰化區營業處,全揚工程行,民國107年03月12日至108年10月11日,"155,570千元",截至108年09月底實際進度：  98.77%,台灣電力股份有限公司彰化區營業處
